Type,Municipality,NearStation,Price,FloorPlan,Area,LandShape,Frontage,BuildingYear,Structure,Use,Direction,Renovation
Residential Land(Land and Building),Chiyoda Ward,3.0,230000000,1K,145,Semi-rectangular Shaped,5.5,1980.0,RC,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,84000000,1K,50,Semi-rectangular Shaped,6.0,2010.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,130000000,1K,70,Semi-rectangular Shaped,5.8,1984.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,120000000,1K,95,Semi-rectangular Shaped,7.0,1962.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,720000000,1K,135,Semi-rectangular Shaped,7.8,2014.0,RC,Housing Complex,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,620000000,1K,200,Rectangular Shaped,16.5,1988.0,SRC,House,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,350000000,1K,95,Rectangular Shaped,6.0,1973.0,SRC,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,9.0,140000000,1K,95,Rectangular Shaped,12.0,1952.0,W,House,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,9.0,110000000,1K,75,Irregular Shaped,7.2,1967.0,RC,House,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,180000000,1K,85,Rectangular Shaped,7.0,1972.0,RC,Office,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,1400000000,1K,350,Semi-rectangular Shaped,11.5,1984.0,SRC,Office,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,430000000,1K,165,Semi-rectangular Shaped,8.5,1990.0,RC,Office,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,75000000,1K,45,Rectangular Shaped,5.5,1974.0,S,House,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,600000000,1K,360,Semi-square Shaped,12.0,1988.0,RC,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,120000000,1K,95,Rectangular Shaped,5.8,1972.0,RC,Office,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,420000000,1K,145,Semi-rectangular Shaped,14.5,2014.0,RC,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,3100000000,1K,780,Irregular Shaped,45.0,1990.0,SRC,Office,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,1600000000,1K,260,Semi-trapezoidal Shaped,14.5,1984.0,SRC,House,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,140000000,1K,60,Semi-rectangular Shaped,4.1,1984.0,S,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,900000000,1K,155,Semi-rectangular Shaped,10.8,1989.0,SRC,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,200000000,1K,65,Semi-rectangular Shaped,7.5,1976.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,7.0,470000000,1K,85,Rectangular Shaped,6.0,2014.0,RC,Housing Complex,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,930000000,1K,210,Irregular Shaped,26.0,2008.0,RC,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,630000000,1K,240,Rectangular Shaped,14.5,1991.0,SRC,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,98000000,1K,50,Semi-rectangular Shaped,8.0,1964.0,RC,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,440000000,1K,220,Semi-square Shaped,15.0,1988.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,530000000,1K,185,Semi-trapezoidal Shaped,5.6,1989.0,RC,Office,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,660000000,1K,155,Semi-rectangular Shaped,10.0,1989.0,SRC,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,400000000,1K,110,Rectangular Shaped,8.0,1963.0,RC,Shop,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,220000000,1K,160,Irregular Shaped,9.2,1964.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,460000000,1K,480,Semi-shaped,25.0,1985.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,840000000,1K,165,Rectangular Shaped,10.0,1989.0,SRC,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,110000000,1K,60,Trapezoidal Shaped,9.9,1974.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,75000000,1K,40,Trapezoidal Shaped,4.7,1974.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,3800000000,1K,780,Rectangular Shaped,14.4,1996.0,RC,Other,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,3100000000,1K,870,Semi-rectangular Shaped,24.0,1973.0,RC,House,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,3900000000,1K,540,Semi-rectangular Shaped,21.5,1977.0,RC,Other,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,8700000000,1K,1000,Irregular Shaped,31.6,1980.0,SRC,Office,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,7000000000,1K,2000,Rectangular Shaped,41.5,1995.0,SRC,Office,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,3300000000,1K,290,Semi-rectangular Shaped,9.5,1993.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,550000000,1K,70,Rectangular Shaped,7.8,1998.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,84000000,1K,195,Irregular Shaped,2.4,1963.0,W,Housing Complex,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,400000000,1K,150,Rectangular Shaped,9.5,1988.0,RC,House,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,1700000000,1K,670,Rectangular Shaped,31.0,1991.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,340000000,1K,70,Semi-trapezoidal Shaped,6.0,1995.0,S,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,1100000000,1K,145,Semi-rectangular Shaped,9.8,2005.0,SRC,Housing Complex,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,540000000,1K,100,Rectangular Shaped,7.3,1987.0,S,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,960000000,1K,360,Semi-rectangular Shaped,11.0,1988.0,RC,House,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,270000000,1K,105,Rectangular Shaped,7.0,1984.0,RC,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,210000000,1K,110,Rectangular Shaped,7.1,1987.0,RC,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,740000000,1K,280,Semi-rectangular Shaped,15.0,1992.0,RC,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,7.0,1000000000,1K,165,Semi-rectangular Shaped,11.8,2018.0,S,Housing Complex,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,340000000,1K,120,Rectangular Shaped,10.0,1987.0,SRC,Shop,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,140000000,1K,60,Rectangular Shaped,4.2,1980.0,S,House,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,10.0,220000000,1K,65,Rectangular Shaped,5.5,1991.0,SRC,House,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,450000000,1K,120,Rectangular Shaped,9.0,1990.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,380000000,1K,125,Semi-square Shaped,11.1,1988.0,S,House,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,110000000,1K,65,Semi-rectangular Shaped,6.1,1986.0,RC,House,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,460000000,1K,80,Rectangular Shaped,7.0,2007.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,7.0,1100000000,1K,165,Semi-rectangular Shaped,9.0,1985.0,SRC,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,10.0,130000000,1K,75,Rectangular Shaped,7.0,1974.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,1200000000,1K,330,Semi-rectangular Shaped,12.5,1974.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,1600000000,1K,210,Trapezoidal Shaped,9.7,2009.0,S,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,1200000000,1K,340,Rectangular Shaped,22.5,1990.0,RC,Office,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,5800000000,1K,640,Semi-rectangular Shaped,21.0,1999.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,460000000,1K,175,Semi-rectangular Shaped,9.0,1973.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,340000000,1K,100,Semi-square Shaped,9.0,1977.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,310000000,1K,200,Flag-shaped etc.,4.0,1997.0,RC,Housing Complex,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,730000000,1K,530,Semi-rectangular Shaped,16.5,1988.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,93000000,1K,65,Semi-square Shaped,8.5,1975.0,W,House,No facing road,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,1400000000,1K,350,Semi-trapezoidal Shaped,16.0,1993.0,RC,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,7.0,990000000,1K,330,Semi-trapezoidal Shaped,11.0,1989.0,SRC,House,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,1200000000,1K,200,Semi-rectangular Shaped,13.0,1955.0,W,House,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,3100000000,1K,185,Semi-rectangular Shaped,7.5,1997.0,S,Warehouse,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,300000000,1K,75,Rectangular Shaped,6.5,1983.0,RC,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,290000000,1K,65,Rectangular Shaped,11.8,1983.0,RC,House,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,490000000,1K,55,Rectangular Shaped,6.2,1973.0,S,House,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,8.0,140000000,1K,115,Rectangular Shaped,7.5,1980.0,S,House,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,240000000,1K,55,Rectangular Shaped,6.5,1988.0,S,Office,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,180000000,1K,60,Rectangular Shaped,9.0,1964.0,RC,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,310000000,1K,45,Semi-rectangular Shaped,5.0,1990.0,S,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,200000000,1K,65,Irregular Shaped,4.0,1969.0,RC,House,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,160000000,1K,100,Rectangular Shaped,5.6,1980.0,S,Housing Complex,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,220000000,1K,105,Rectangular Shaped,8.1,2000.0,S,Office,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,45000000,1K,50,Semi-rectangular Shaped,8.0,1963.0,W,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,76000000,1K,65,Semi-shaped,6.6,1954.0,W,House,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,200000000,1K,115,Rectangular Shaped,5.5,2001.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,720000000,1K,190,Semi-rectangular Shaped,12.0,2001.0,SRC,Housing Complex,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,3100000000,1K,350,Irregular Shaped,9.0,2017.0,S,Other,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,90000000,1K,145,Semi-rectangular Shaped,9.3,1983.0,SRC,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,170000000,1K,35,Rectangular Shaped,4.0,1973.0,RC,Office,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,500000000,1K,260,Irregular Shaped,5.0,1973.0,RC,Office,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,1100000000,1K,210,Rectangular Shaped,10.0,1964.0,SRC,Office,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,42000000,1K,35,Rectangular Shaped,3.5,1957.0,W,House,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,110000000,1K,35,Rectangular Shaped,5.0,1981.0,S,House,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,120000000,1K,115,Rectangular Shaped,8.5,1971.0,RC,House,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,220000000,1K,90,Semi-rectangular Shaped,4.5,1987.0,SRC,House,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,41000000,1K,45,Rectangular Shaped,4.5,1980.0,S,House,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,120000000,1K,95,Semi-rectangular Shaped,12.6,1977.0,RC,Office,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,4200000000,1K,210,Rectangular Shaped,11.0,2015.0,S,Shop,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,60000000,1K,60,Semi-rectangular Shaped,6.5,1988.0,W,House,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,370000000,1K,60,Rectangular Shaped,3.0,1985.0,S,Shop,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,2200000000,1K,390,Irregular Shaped,12.3,1996.0,SRC,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,290000000,1K,95,Semi-rectangular Shaped,8.0,2003.0,S,Office,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,8600000000,1K,1300,Semi-rectangular Shaped,32.0,1965.0,SRC,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,1800000000,1K,490,Semi-square Shaped,22.0,1969.0,RC,Housing Complex,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,1300000000,1K,380,Semi-shaped,23.0,2007.0,S,Office,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,510000000,1K,110,Semi-rectangular Shaped,10.0,1985.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,6100000000,1K,780,Semi-rectangular Shaped,40.0,1979.0,SRC,House,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,1100000000,1K,150,Semi-shaped,14.0,1984.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,520000000,1K,140,Semi-rectangular Shaped,9.0,1972.0,SRC,House,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,900000000,1K,150,Semi-rectangular Shaped,11.0,1984.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,2000000000,1K,185,Irregular Shaped,4.6,2016.0,RC,Housing Complex,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,340000000,1K,195,Semi-rectangular Shaped,20.8,1992.0,RC,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,610000000,1K,135,Semi-trapezoidal Shaped,10.5,1987.0,SRC,Housing Complex,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,480000000,1K,260,Semi-rectangular Shaped,15.5,1973.0,SRC,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,40000000,1K,40,Rectangular Shaped,5.0,1967.0,RC,House,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,160000000,1K,165,Irregular Shaped,11.4,1986.0,SRC,House,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,69000000,1K,90,Semi-rectangular Shaped,8.5,2000.0,S,House,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,7.0,200000000,1K,60,Rectangular Shaped,5.5,1988.0,S,Warehouse,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,5.0,310000000,1K,160,Semi-shaped,8.0,1973.0,RC,Office,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,88000000,1K,45,Rectangular Shaped,5.0,1985.0,S,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,57000000,1K,45,Rectangular Shaped,4.8,1985.0,S,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,480000000,1K,170,Semi-rectangular Shaped,9.0,1969.0,RC,Office,South,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,1500000000,1K,320,Irregular Shaped,19.5,1989.0,SRC,House,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,480000000,1K,165,Semi-square Shaped,13.0,1992.0,RC,Office,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,70000000,1K,50,Rectangular Shaped,4.5,1951.0,W,House,West,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,300000000,1K,65,Rectangular Shaped,8.0,1988.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,20000000,1K,55,Semi-rectangular Shaped,4.5,1988.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,1300000000,1K,180,Semi-square Shaped,14.0,1974.0,RC,House,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,800000000,1K,270,Semi-rectangular Shaped,16.0,1995.0,RC,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,1400000000,1K,185,Semi-shaped,8.0,1984.0,SRC,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,1100000000,1K,400,Semi-rectangular Shaped,16.0,1990.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,980000000,1K,320,Irregular Shaped,23.5,1969.0,RC,Office,East,Not yet
Residential Land(Land and Building),Chiyoda Ward,2.0,2800000000,1K,730,Irregular Shaped,12.0,1994.0,SRC,Housing Complex,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,1.0,1500000000,1K,480,Irregular Shaped,19.0,1989.0,SRC,House,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,6.0,320000000,1K,310,Semi-square Shaped,17.0,1990.0,SRC,House,North,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,170000000,1K,85,Semi-shaped,10.5,1979.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,83000000,1K,40,Rectangular Shaped,3.5,1988.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,120000000,1K,105,Rectangular Shaped,7.0,1970.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,350000000,1K,50,Rectangular Shaped,3.5,1973.0,SRC,Office,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,4.0,510000000,1K,230,Irregular Shaped,4.0,1989.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Chiyoda Ward,3.0,1500000000,1K,480,Semi-trapezoidal Shaped,24.0,1970.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,5.0,480000000,1K,350,Square Shaped,19.0,1970.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,8.0,1200000000,1K,240,Semi-rectangular Shaped,13.5,2006.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,370000000,1K,320,Rectangular Shaped,17.5,1990.0,SRC,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,47000000,1K,45,Rectangular Shaped,4.4,1966.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,100000000,1K,90,Rectangular Shaped,5.5,1965.0,S,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,790000000,1K,310,Irregular Shaped,5.5,1991.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,420000000,1K,185,Semi-rectangular Shaped,8.5,1990.0,SRC,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,100000000,1K,65,Irregular Shaped,9.5,1989.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,22000000,1K,35,Rectangular Shaped,3.7,1988.0,W,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,110000000,1K,105,Semi-rectangular Shaped,15.0,1970.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,64000000,1K,65,Irregular Shaped,7.5,1990.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,170000000,1K,65,Semi-trapezoidal Shaped,6.0,1989.0,S,Office,Northwest,Not yet
